job_country,count
United States,2301
Sudan,232
India,73
Canada,47
France,42
Germany,39
United Kingdom,36
Poland,21
Greece,19
Portugal,17
Mexico,16
South Africa,14
Singapore,14
Spain,13
Netherlands,13
Israel,13
Australia,12
Hungary,11
Argentina,10
Thailand,9
Malaysia,9
Switzerland,8
Indonesia,8
Colombia,7
Philippines,7
Belgium,7
Sweden,6
Ireland,6
South Korea,5
Italy,4
Serbia,4
United Arab Emirates,4
Egypt,4
Japan,4
Finland,4
Vietnam,4
Pakistan,3
Puerto Rico,3
Norway,3
Brazil,3
Denmark,3
Ukraine,3
Costa Rica,3
Sri Lanka,3
Romania,3
Guam,3
Estonia,2
New Zealand,2
Chile,2
Bulgaria,2
Czechia,2
Turkey,2
Croatia,2
Cyprus,2
Luxembourg,1
Panama,1
Côte d'Ivoire,1
Peru,1
Lithuania,1
China,1
Nigeria,1
Morocco,1
Taiwan,1
Kenya,1
Slovakia,1
Guatemala,1
U.S. Virgin Islands,1
