job_country,salary_year_avg
China,235000.0
Slovakia,157500.0
Morocco,147500.0
Lithuania,147500.0
Czechia,147500.0
Côte d'Ivoire,147500.0
Sudan,136914.4418298193
United States,126778.54999502389
United Arab Emirates,124480.125
Chile,124000.0
Mexico,123813.375
Canada,123515.45454545454
Netherlands,123095.73076923077
Hungary,120799.9
Thailand,118718.0
Indonesia,118350.0
Israel,118190.26923076923
Germany,116636.20512820513
Malaysia,115848.33333333333
South Korea,115750.4
Poland,115231.42857142857
Cyprus,114880.25
Singapore,114432.25
India,114247.1095890411
Spain,113901.23076923077
Australia,111797.78571428571
Ireland,110961.08333333333
Nigeria,110000.0
United Kingdom,105784.93055555556
Costa Rica,105054.66666666667
Ukraine,104222.66666666667
Colombia,104080.57142857143
Brazil,103607.16666666667
Portugal,103563.61764705883
Denmark,103166.66666666667
Peru,102500.0
Japan,101927.66666666667
Greece,101179.47368421052
Finland,100820.375
New Zealand,99257.0
France,98943.01190476191
Norway,98228.16666666667
Pakistan,97133.33333333333
Guam,95500.0
Sweden,95457.5
Taiwan,93600.0
Belgium,91085.92857142857
Puerto Rico,89166.66666666667
Argentina,88397.95
Egypt,88128.5
Turkey,88128.0
Switzerland,87162.8125
Serbia,86100.0
Sri Lanka,85733.33333333333
Romania,85658.33333333333
Philippines,84186.42857142857
Vietnam,81875.0
South Africa,81178.78571428571
Estonia,76960.75
Bulgaria,72050.0
Croatia,70886.5
Italy,62483.875
Luxembourg,56700.0
Panama,45000.0
Kenya,44100.0
